Away,AwayPts,Home,HomePts
1,Phoenix Suns,92,Charlotte Hornets,126
2,Orlando Magic,108,Dallas Mavericks,121
3,Atlanta Hawks,105,Golden State Warriors,109
4,Brooklyn Nets,101,Los Angeles Lakers,107
5,Chicago Bulls,111,Miami Heat,129
6,Portland Trail Blazers,104,New York Knicks,85
7,Portland Trail Blazers,93,Boston Celtics,116
8,Los Angeles Lakers,107,Denver Nuggets,117
9,New Orleans Pelicans,95,Houston Rockets,100
10,Oklahoma City Thunder,98,Los Angeles Clippers,103
11,Sacramento Kings,98,Memphis Grizzlies,104
12,Indiana Pacers,104,Milwaukee Bucks,99
13,Washington Wizards,104,Minnesota Timberwolves,98
14,Chicago Bulls,89,Orlando Magic,102
15,Charlotte Hornets,119,Philadelphia 76ers,99
16,Detroit Pistons,81,San Antonio Spurs,97
17,Utah Jazz,94,Toronto Raptors,104
18,Sacramento Kings,104,Dallas Mavericks,101
19,Oklahoma City Thunder,106,Golden State Warriors,121
20,Phoenix Suns,92,Miami Heat,108
21,San Antonio Spurs,94,New Orleans Pelicans,86
22,New York Knicks,104,Boston Celtics,105
23,Indiana Pacers,101,Charlotte Hornets,108
24,Washington Wizards,83,Cleveland Cavaliers,108
25,Brooklyn Nets,121,Denver Nuggets,120
26,Atlanta Hawks,106,Los Angeles Lakers,77
27,Utah Jazz,88,Memphis Grizzlies,94
28,Minnesota Timberwolves,101,Milwaukee Bucks,116
29,Phoenix Suns,102,Orlando Magic,84
30,Miami Heat,112,Philadelphia 76ers,102
31,Portland Trail Blazers,115,Toronto Raptors,117
32,Houston Rockets,100,Chicago Bulls,108
33,Boston Celtics,103,Cleveland Cavaliers,120
34,Atlanta Hawks,107,Los Angeles Clippers,97
35,Brooklyn Nets,118,Minnesota Timberwolves,132
36,Utah Jazz,106,New Orleans Pelicans,94
37,Detroit Pistons,89,New York Knicks,102
38,Sacramento Kings,94,San Antonio Spurs,104
39,Indiana Pacers,100,Washington Wizards,99
40,Dallas Mavericks,114,Denver Nuggets,116
41,Portland Trail Blazers,103,Detroit Pistons,123
42,Golden State Warriors,95,Los Angeles Lakers,112
43,Phoenix Suns,109,Memphis Grizzlies,100
44,Philadelphia 76ers,98,Miami Heat,103
45,Oklahoma City Thunder,104,Milwaukee Bucks,96
46,Houston Rockets,113,Toronto Raptors,107
47,Milwaukee Bucks,90,Chicago Bulls,100
48,Minnesota Timberwolves,103,Charlotte Hornets,108
49,Memphis Grizzlies,106,Cleveland Cavaliers,103
50,Los Angeles Clippers,109,Dallas Mavericks,90
51,Orlando Magic,113,Golden State Warriors,119
52,San Antonio Spurs,91,Indiana Pacers,99
53,Sacramento Kings,112,New Orleans Pelicans,115
54,New York Knicks,94,Denver Nuggets,110
55,Orlando Magic,98,Los Angeles Lakers,107
56,San Antonio Spurs,116,Minnesota Timberwolves,91
57,Washington Wizards,109,Portland Trail Blazers,116
58,Brooklyn Nets,99,Toronto Raptors,104
59,Atlanta Hawks,91,Utah Jazz,84
60,Memphis Grizzlies,96,Boston Celtics,116
61,New Orleans Pelicans,113,Charlotte Hornets,122
62,Detroit Pistons,102,Dallas Mavericks,96
63,Utah Jazz,94,Golden State Warriors,115
64,Miami Heat,108,Milwaukee Bucks,114
65,Los Angeles Clippers,108,Oklahoma City Thunder,120
66,Houston Rockets,118,Philadelphia 76ers,104
67,New York Knicks,128,Phoenix Suns,97
68,Cleveland Cavaliers,120,Sacramento Kings,111
69,Phoenix Suns,98,Denver Nuggets,116
70,Cleveland Cavaliers,120,Los Angeles Lakers,108
71,Chicago Bulls,101,San Antonio Spurs,109
72,Atlanta Hawks,96,Toronto Raptors,104
73,Houston Rockets,102,Boston Celtics,98
74,Miami Heat,118,Chicago Bulls,96
75,Detroit Pistons,103,Charlotte Hornets,118
76,Portland Trail Blazers,112,Golden State Warriors,128
77,New York Knicks,94,Los Angeles Clippers,101
78,New Orleans Pelicans,114,Memphis Grizzlies,121
79,Minnesota Timberwolves,99,Oklahoma City Thunder,96
80,Brooklyn Nets,89,Philadelphia 76ers,95
81,Orlando Magic,107,Sacramento Kings,100
82,Washington Wizards,93,Utah Jazz,114
83,Memphis Grizzlies,83,Atlanta Hawks,95
84,Houston Rockets,109,Charlotte Hornets,125
85,Indiana Pacers,112,Dallas Mavericks,105
86,Washington Wizards,100,Denver Nuggets,116
87,Phoenix Suns,116,Golden State Warriors,123
88,New Orleans Pelicans,92,Milwaukee Bucks,103
89,Detroit Pistons,125,Philadelphia 76ers,111
90,Orlando Magic,84,Portland Trail Blazers,121
91,Oklahoma City Thunder,85,San Antonio Spurs,93
92,Miami Heat,104,Toronto Raptors,112
93,Indiana Pacers,75,Atlanta Hawks,104
94,Milwaukee Bucks,109,Brooklyn Nets,100
95,Cleveland Cavaliers,114,Los Angeles Clippers,90
96,New York Knicks,90,Los Angeles Lakers,87
97,Utah Jazz,108,Sacramento Kings,99
98,Dallas Mavericks,107,Charlotte Hornets,96
99,New Orleans Pelicans,107,Golden State Warriors,125
100,Memphis Grizzlies,81,Houston Rockets,130
101,Denver Nuggets,119,Miami Heat,124
102,Portland Trail Blazers,94,Oklahoma City Thunder,128
103,Minnesota Timberwolves,104,Phoenix Suns,107
104,Chicago Bulls,109,Toronto Raptors,107
105,Cleveland Cavaliers,85,Utah Jazz,94
106,Detroit Pistons,81,Washington Wizards,124
107,Philadelphia 76ers,114,Brooklyn Nets,131
108,Boston Celtics,98,Indiana Pacers,103
109,Sacramento Kings,106,Los Angeles Lakers,98
110,Toronto Raptors,107,Milwaukee Bucks,89
111,Denver Nuggets,110,Orlando Magic,116
112,Los Angeles Clippers,87,San Antonio Spurs,108
113,Oklahoma City Thunder,130,Boston Celtics,109
114,Orlando Magic,99,Charlotte Hornets,107
