Away,AwayPts,Home,HomePts
1,Orlando Magic,111,Brooklyn Nets,121
2,Atlanta Hawks,104,Chicago Bulls,106
3,Los Angeles Lakers,104,Los Angeles Clippers,115
4,Sacramento Kings,123,Minnesota Timberwolves,117
5,Phoenix Suns,117,Portland Trail Blazers,130
6,Atlanta Hawks,82,Brooklyn Nets,91
7,Indiana Pacers,130,Cleveland Cavaliers,135
8,Washington Wizards,115,Golden State Warriors,139
9,Memphis Grizzlies,103,Los Angeles Lakers,108
10,Denver Nuggets,116,Miami Heat,113
11,Dallas Mavericks,109,Milwaukee Bucks,105
12,Chicago Bulls,117,New Orleans Pelicans,110
13,Boston Celtics,110,New York Knicks,94
14,Charlotte Hornets,113,Oklahoma City Thunder,101
15,Houston Rockets,123,Phoenix Suns,116
16,Utah Jazz,103,San Antonio Spurs,109
17,Philadelphia 76ers,105,Toronto Raptors,113
18,Portland Trail Blazers,109,Minnesota Timberwolves,110
19,Orlando Magic,102,Cleveland Cavaliers,122
20,Minnesota Timberwolves,107,Golden State Warriors,121
21,Toronto Raptors,90,Indiana Pacers,108
22,Denver Nuggets,134,New Orleans Pelicans,131
23,Chicago Bulls,91,New York Knicks,100
24,Milwaukee Bucks,79,Oklahoma City Thunder,110
25,Brooklyn Nets,141,Philadelphia 76ers,118
26,Dallas Mavericks,87,Sacramento Kings,98
27,Memphis Grizzlies,89,San Antonio Spurs,95
28,Portland Trail Blazers,87,Utah Jazz,106
29,Charlotte Hornets,111,Washington Wizards,118
30,Cleveland Cavaliers,114,Boston Celtics,91
31,Miami Heat,112,Charlotte Hornets,99
32,Toronto Raptors,105,Detroit Pistons,102
33,Denver Nuggets,104,Houston Rockets,110
34,Dallas Mavericks,101,Los Angeles Clippers,112
35,Oklahoma City Thunder,103,Memphis Grizzlies,100
36,Golden State Warriors,120,Phoenix Suns,111
37,Los Angeles Lakers,102,San Antonio Spurs,95
38,Boston Celtics,116,Atlanta Hawks,123
39,Milwaukee Bucks,89,Indiana Pacers,104
40,Washington Wizards,106,New York Knicks,103
41,Brooklyn Nets,107,Orlando Magic,115
42,Chicago Bulls,102,Philadelphia 76ers,90
43,Minnesota Timberwolves,98,Portland Trail Blazers,105
44,Atlanta Hawks,114,Cleveland Cavaliers,100
45,San Antonio Spurs,102,Dallas Mavericks,89
46,New Orleans Pelicans,106,Denver Nuggets,122
47,Detroit Pistons,114,Houston Rockets,109
48,Sacramento Kings,94,Los Angeles Lakers,98
49,New York Knicks,88,Memphis Grizzlies,101
