Away,AwayPts,Home,HomePts
1,New York Knicks,88,Cleveland Cavaliers,117
2,San Antonio Spurs,129,Golden State Warriors,100
3,Utah Jazz,104,Portland Trail Blazers,113
4,Brooklyn Nets,117,Boston Celtics,122
5,Dallas Mavericks,121,Indiana Pacers,130
6,Houston Rockets,114,Los Angeles Lakers,120
7,Minnesota Timberwolves,98,Memphis Grizzlies,102
8,Charlotte Hornets,107,Milwaukee Bucks,96
9,Denver Nuggets,107,New Orleans Pelicans,102
10,Miami Heat,108,Orlando Magic,96
11,Oklahoma City Thunder,103,Philadelphia 76ers,97
12,Sacramento Kings,113,Phoenix Suns,94
13,Detroit Pistons,91,Toronto Raptors,109
14,Washington Wizards,99,Atlanta Hawks,114
15,Boston Celtics,99,Chicago Bulls,105
16,Los Angeles Clippers,114,Portland Trail Blazers,106
17,San Antonio Spurs,102,Sacramento Kings,94
18,Indiana Pacers,94,Brooklyn Nets,103
19,Houston Rockets,106,Dallas Mavericks,98
20,Orlando Magic,82,Detroit Pistons,108
21,Charlotte Hornets,97,Miami Heat,91
22,Golden State Warriors,122,New Orleans Pelicans,114
23,Phoenix Suns,110,Oklahoma City Thunder,113
24,Cleveland Cavaliers,94,Toronto Raptors,91
25,Los Angeles Lakers,89,Utah Jazz,96
26,Indiana Pacers,101,Chicago Bulls,118
27,Boston Celtics,104,Charlotte Hornets,98
28,Orlando Magic,99,Cleveland Cavaliers,105
29,Portland Trail Blazers,115,Denver Nuggets,113
30,Brooklyn Nets,108,Milwaukee Bucks,110
31,Memphis Grizzlies,104,New York Knicks,111
32,Atlanta Hawks,104,Philadelphia 76ers,72
33,Minnesota Timberwolves,103,Sacramento Kings,106
34,New Orleans Pelicans,79,San Antonio Spurs,98
35,Milwaukee Bucks,83,Detroit Pistons,98
36,Dallas Mavericks,92,Houston Rockets,93
37,Utah Jazz,75,Los Angeles Clippers,88
38,Washington Wizards,103,Memphis Grizzlies,112
39,San Antonio Spurs,106,Miami Heat,99
40,Los Angeles Lakers,96,Oklahoma City Thunder,113
41,Golden State Warriors,106,Phoenix Suns,100
42,Sacramento Kings,95,Atlanta Hawks,106
43,Chicago Bulls,118,Brooklyn Nets,88
44,Phoenix Suns,98,Los Angeles Clippers,116
45,Denver Nuggets,102,Toronto Raptors,105
