Away,AwayPts,Home,HomePts
1,Sacramento Kings,86,Boston Celtics,113
2,Milwaukee Bucks,121,Charlotte Hornets,126
3,Indiana Pacers,124,Cleveland Cavaliers,107
4,Toronto Raptors,111,Denver Nuggets,129
5,Dallas Mavericks,98,Los Angeles Clippers,119
6,Orlando Magic,101,Memphis Grizzlies,99
7,Chicago Bulls,91,Miami Heat,97
8,Minnesota Timberwolves,104,New Orleans Pelicans,98
9,Houston Rockets,119,New York Knicks,97
10,Atlanta Hawks,109,Philadelphia 76ers,119
11,Portland Trail Blazers,103,Utah Jazz,112
12,Phoenix Suns,122,Washington Wizards,116
13,Los Angeles Lakers,110,Portland Trail Blazers,113
14,Golden State Warriors,112,San Antonio Spurs,92
15,Houston Rockets,119,Atlanta Hawks,104
16,New Orleans Pelicans,99,Dallas Mavericks,94
17,Miami Heat,94,Denver Nuggets,95
18,Milwaukee Bucks,96,Detroit Pistons,105
19,Brooklyn Nets,112,Los Angeles Lakers,124
20,Phoenix Suns,107,New York Knicks,120
21,Boston Celtics,101,Oklahoma City Thunder,94
22,Chicago Bulls,105,Orlando Magic,83
23,Indiana Pacers,110,Philadelphia 76ers,121
24,Charlotte Hornets,101,San Antonio Spurs,108
25,Toronto Raptors,109,Utah Jazz,100
26,Cleveland Cavaliers,130,Washington Wizards,122
27,New Orleans Pelicans,96,Chicago Bulls,90
28,Golden State Warriors,127,Denver Nuggets,108
29,Sacramento Kings,99,Detroit Pistons,108
30,Memphis Grizzlies,113,Los Angeles Clippers,104
31,Dallas Mavericks,99,Minnesota Timberwolves,112
32,Atlanta Hawks,117,Cleveland Cavaliers,115
33,Utah Jazz,110,Houston Rockets,137
34,Miami Heat,104,Los Angeles Clippers,101
35,Memphis Grizzlies,102,Los Angeles Lakers,107
36,Charlotte Hornets,94,Minnesota Timberwolves,112
37,Indiana Pacers,101,New York Knicks,108
38,Boston Celtics,104,Orlando Magic,88
39,Oklahoma City Thunder,99,Portland Trail Blazers,103
40,Phoenix Suns,95,San Antonio Spurs,112
41,Washington Wizards,107,Toronto Raptors,96
42,Boston Celtics,110,Atlanta Hawks,107
43,Miami Heat,80,Golden State Warriors,97
44,Brooklyn Nets,98,Phoenix Suns,92
45,Milwaukee Bucks,119,Cleveland Cavaliers,124
46,Brooklyn Nets,104,Denver Nuggets,112
47,New Orleans Pelicans,117,Indiana Pacers,112
48,Charlotte Hornets,113,New York Knicks,118
49,Memphis Grizzlies,98,Portland Trail Blazers,97
50,Oklahoma City Thunder,86,Sacramento Kings,94
51,Los Angeles Clippers,107,San Antonio Spurs,120
52,Chicago Bulls,114,Toronto Raptors,119
53,Philadelphia 76ers,104,Utah Jazz,97
54,Dallas Mavericks,113,Washington Wizards,99
55,Los Angeles Lakers,96,Boston Celtics,107
56,Indiana Pacers,97,Detroit Pistons,114
57,Minnesota Timberwolves,101,Golden State Warriors,125
58,New York Knicks,99,Orlando Magic,112
59,Miami Heat,126,Phoenix Suns,115
60,Oklahoma City Thunder,94,Denver Nuggets,102
61,Cleveland Cavaliers,113,Houston Rockets,117
62,Philadelphia 76ers,108,Sacramento Kings,109
63,New Orleans Pelicans,118,Toronto Raptors,122
