Away,AwayPts,Home,HomePts
1,Toronto Raptors,106,Cleveland Cavaliers,95
2,Golden State Warriors,102,Detroit Pistons,111
3,Chicago Bulls,105,Houston Rockets,121
4,Boston Celtics,118,Minnesota Timberwolves,109
5,Milwaukee Bucks,134,New York Knicks,136
6,Indiana Pacers,110,Sacramento Kings,111
7,Brooklyn Nets,88,Washington Wizards,102
8,New Orleans Pelicans,119,Charlotte Hornets,109
9,Los Angeles Clippers,110,Dallas Mavericks,114
10,Phoenix Suns,96,Los Angeles Lakers,120
11,Utah Jazz,100,Miami Heat,102
12,Memphis Grizzlies,95,Philadelphia 76ers,103
13,Portland Trail Blazers,118,San Antonio Spurs,131
14,Golden State Warriors,128,Atlanta Hawks,111
15,Cleveland Cavaliers,99,Brooklyn Nets,97
16,Oklahoma City Thunder,110,Detroit Pistons,83
17,Houston Rockets,91,Minnesota Timberwolves,103
18,Los Angeles Clippers,129,New Orleans Pelicans,126
19,Washington Wizards,110,New York Knicks,107
20,Denver Nuggets,106,Toronto Raptors,103
21,Portland Trail Blazers,102,Dallas Mavericks,111
22,Chicago Bulls,90,Indiana Pacers,96
23,Orlando Magic,105,Miami Heat,90
24,Sacramento Kings,122,Phoenix Suns,105
25,San Antonio Spurs,105,Utah Jazz,139
26,Washington Wizards,131,Atlanta Hawks,117
27,Oklahoma City Thunder,114,Brooklyn Nets,112
28,Golden State Warriors,129,Cleveland Cavaliers,105
29,San Antonio Spurs,113,Los Angeles Lakers,121
30,Los Angeles Clippers,86,Memphis Grizzlies,96
31,Detroit Pistons,92,Milwaukee Bucks,115
32,Charlotte Hornets,104,Minnesota Timberwolves,121
33,Dallas Mavericks,106,New Orleans Pelicans,132
34,Denver Nuggets,124,Orlando Magic,118
35,Philadelphia 76ers,102,Toronto Raptors,113
36,New York Knicks,100,Boston Celtics,128
37,Phoenix Suns,86,Portland Trail Blazers,108
38,Houston Rockets,91,Utah Jazz,118
39,Toronto Raptors,105,Brooklyn Nets,106
40,Oklahoma City Thunder,112,Chicago Bulls,114
41,Denver Nuggets,107,Charlotte Hornets,113
42,Sacramento Kings,129,Cleveland Cavaliers,110
43,Philadelphia 76ers,117,Detroit Pistons,111
44,Golden State Warriors,105,Milwaukee Bucks,95
45,Memphis Grizzlies,107,New Orleans Pelicans,103
46,Indiana Pacers,112,Orlando Magic,90
47,Miami Heat,115,Phoenix Suns,98
48,Los Angeles Lakers,120,San Antonio Spurs,133
49,Denver Nuggets,98,Atlanta Hawks,106
50,Boston Celtics,133,Chicago Bulls,77
51,Washington Wizards,101,Cleveland Cavaliers,116
52,Houston Rockets,104,Dallas Mavericks,107
53,Sacramento Kings,97,Indiana Pacers,107
54,Miami Heat,121,Los Angeles Clippers,98
55,Los Angeles Lakers,111,Memphis Grizzlies,88
56,Brooklyn Nets,112,New York Knicks,104
57,Minnesota Timberwolves,105,Portland Trail Blazers,113
58,New Orleans Pelicans,116,Detroit Pistons,108
59,Charlotte Hornets,119,New York Knicks,107
60,Utah Jazz,97,San Antonio Spurs,110
61,Milwaukee Bucks,104,Toronto Raptors,99
62,New Orleans Pelicans,100,Boston Celtics,113
63,Sacramento Kings,108,Chicago Bulls,89
64,Orlando Magic,76,Dallas Mavericks,101
65,Memphis Grizzlies,99,Denver Nuggets,105
66,Minnesota Timberwolves,108,Golden State Warriors,116
67,Washington Wizards,101,Indiana Pacers,109
68,Miami Heat,105,Los Angeles Lakers,108
69,Cleveland Cavaliers,92,Milwaukee Bucks,108
70,Utah Jazz,113,Oklahoma City Thunder,122
71,Detroit Pistons,102,Philadelphia 76ers,116
