Away,AwayPts,Home,HomePts
1,New York Knicks,,Denver Nuggets,
2,Philadelphia 76ers,,Los Angeles Clippers,
3,Detroit Pistons,,Milwaukee Bucks,
4,Portland Trail Blazers,,Sacramento Kings,
5,Utah Jazz,,Toronto Raptors,
6,Minnesota Timberwolves,,Boston Celtics,
7,New Orleans Pelicans,,Brooklyn Nets,
8,Orlando Magic,,Chicago Bulls,
9,Dallas Mavericks,,Charlotte Hornets,
10,Miami Heat,,Cleveland Cavaliers,
11,Oklahoma City Thunder,,Los Angeles Lakers,
12,Detroit Pistons,,Memphis Grizzlies,
13,Philadelphia 76ers,,Phoenix Suns,
14,Atlanta Hawks,,Washington Wizards,
15,Houston Rockets,,Golden State Warriors,
16,Denver Nuggets,,Sacramento Kings,
17,Toronto Raptors,,San Antonio Spurs,
18,Dallas Mavericks,,Boston Celtics,
19,Indiana Pacers,,Chicago Bulls,
20,Utah Jazz,,Cleveland Cavaliers,
21,New York Knicks,,Los Angeles Lakers,
22,Brooklyn Nets,,Memphis Grizzlies,
23,Washington Wizards,,Miami Heat,
24,Atlanta Hawks,,Milwaukee Bucks,
25,Orlando Magic,,Minnesota Timberwolves,
26,Los Angeles Clippers,,Phoenix Suns,
27,Oklahoma City Thunder,,Portland Trail Blazers,
28,New Orleans Pelicans,,Cleveland Cavaliers,
29,Charlotte Hornets,,Denver Nuggets,
30,Utah Jazz,,Detroit Pistons,
31,Toronto Raptors,,Milwaukee Bucks,
32,Dallas Mavericks,,Philadelphia 76ers,
33,Houston Rockets,,Portland Trail Blazers,
34,Golden State Warriors,,Sacramento Kings,
35,Memphis Grizzlies,,San Antonio Spurs,
36,Miami Heat,,Atlanta Hawks,
37,Brooklyn Nets,,Chicago Bulls,
38,Orlando Magic,,Los Angeles Clippers,
39,Los Angeles Lakers,,Minnesota Timberwolves,
40,Washington Wizards,,Oklahoma City Thunder,
41,Charlotte Hornets,,Phoenix Suns,
42,Indiana Pacers,,Toronto Raptors,
43,Brooklyn Nets,,Boston Celtics,
44,Los Angeles Lakers,,Dallas Mavericks,
45,San Antonio Spurs,,Detroit Pistons,
46,Denver Nuggets,,Houston Rockets,
47,Utah Jazz,,Milwaukee Bucks,
48,Memphis Grizzlies,,New Orleans Pelicans,
49,New York Knicks,,Portland Trail Blazers,
50,Orlando Magic,,Sacramento Kings,
51,Indiana Pacers,,Cleveland Cavaliers,
52,New York Knicks,,Golden State Warriors,
53,Charlotte Hornets,,Los Angeles Clippers,
54,Denver Nuggets,,Miami Heat,
55,Minnesota Timberwolves,,Oklahoma City Thunder,
56,Washington Wizards,,Philadelphia 76ers,
57,Sacramento Kings,,Phoenix Suns,
58,Atlanta Hawks,,Toronto Raptors,
59,Indiana Pacers,,Boston Celtics,
60,Atlanta Hawks,,Brooklyn Nets,
61,Phoenix Suns,,Dallas Mavericks,
62,Milwaukee Bucks,,Houston Rockets,
63,Detroit Pistons,,Los Angeles Lakers,
64,San Antonio Spurs,,Memphis Grizzlies,
65,Cleveland Cavaliers,,New Orleans Pelicans,
66,Chicago Bulls,,Portland Trail Blazers,
67,Orlando Magic,,Utah Jazz,
68,Philadelphia 76ers,,Washington Wizards,
69,Los Angeles Clippers,,Denver Nuggets,
70,Boston Celtics,,Miami Heat,
71,Detroit Pistons,,Sacramento Kings,
72,Oklahoma City Thunder,,San Antonio Spurs,
73,Chicago Bulls,,Golden State Warriors,
74,Cleveland Cavaliers,,Houston Rockets,
75,Dallas Mavericks,,Minnesota Timberwolves,
76,Indiana Pacers,,New York Knicks,
77,Atlanta Hawks,,Philadelphia 76ers,
78,Charlotte Hornets,,Portland Trail Blazers,
79,Brooklyn Nets,,Toronto Raptors,
80,Los Angeles Lakers,,Utah Jazz,
81,Milwaukee Bucks,,Washington Wizards,
82,Detroit Pistons,,Los Angeles Clippers,
83,Memphis Grizzlies,,Miami Heat,
84,New Orleans Pelicans,,Minnesota Timberwolves,
85,San Antonio Spurs,,Oklahoma City Thunder,
86,Boston Celtics,,Orlando Magic,
87,Denver Nuggets,,Phoenix Suns,
88,Charlotte Hornets,,Sacramento Kings,
89,Chicago Bulls,,Utah Jazz,
90,Milwaukee Bucks,,Atlanta Hawks,
91,Golden State Warriors,,Dallas Mavericks,
92,Portland Trail Blazers,,Denver Nuggets,
93,Cleveland Cavaliers,,Los Angeles Lakers,
94,Philadelphia 76ers,,New York Knicks,
95,Houston Rockets,,Orlando Magic,
96,Toronto Raptors,,Washington Wizards,
97,Boston Celtics,,Brooklyn Nets,
98,Memphis Grizzlies,,Houston Rockets,
99,New Orleans Pelicans,,Los Angeles Clippers,
100,Portland Trail Blazers,,Sacramento Kings,
101,Charlotte Hornets,,San Antonio Spurs,
102,Detroit Pistons,,Utah Jazz,
103,Oklahoma City Thunder,,Atlanta Hawks,
104,Golden State Warriors,,Denver Nuggets,
105,Phoenix Suns,,Indiana Pacers,
106,Chicago Bulls,,Los Angeles Lakers,
107,Miami Heat,,Milwaukee Bucks,
108,Minnesota Timberwolves,,Philadelphia 76ers,
109,Toronto Raptors,,Boston Celtics,
110,San Antonio Spurs,,Dallas Mavericks,
111,Orlando Magic,,Detroit Pistons,
112,New Orleans Pelicans,,Golden State Warriors,
113,Brooklyn Nets,,Houston Rockets,
114,Utah Jazz,,Los Angeles Clippers,
115,Milwaukee Bucks,,Memphis Grizzlies,
116,Cleveland Cavaliers,,Portland Trail Blazers,
117,Sacramento Kings,,Charlotte Hornets,
118,Chicago Bulls,,Denver Nuggets,
119,Philadelphia 76ers,,Indiana Pacers,
120,Los Angeles Lakers,,Oklahoma City Thunder,
121,Phoenix Suns,,Toronto Raptors,
122,New York Knicks,,Washington Wizards,
123,Memphis Grizzlies,,Boston Celtics,
124,Miami Heat,,Detroit Pistons,
125,Golden State Warriors,,Los Angeles Clippers,
126,San Antonio Spurs,,Minnesota Timberwolves,
127,Brooklyn Nets,,Orlando Magic,
128,New Orleans Pelicans,,Portland Trail Blazers,
129,Cleveland Cavaliers,,Utah Jazz,
130,Boston Celtics,,Atlanta Hawks,
131,Miami Heat,,Chicago Bulls,
132,Phoenix Suns,,Charlotte Hornets,
133,Cleveland Cavaliers,,Denver Nuggets,
134,Sacramento Kings,,Detroit Pistons,
135,Los Angeles Lakers,,Houston Rockets,
136,Dallas Mavericks,,Indiana Pacers,
137,Milwaukee Bucks,,Orlando Magic,
138,Oklahoma City Thunder,,Philadelphia 76ers,
139,Memphis Grizzlies,,Toronto Raptors,
140,Charlotte Hornets,,Indiana Pacers,
141,Phoenix Suns,,Minnesota Timberwolves,
142,Los Angeles Clippers,,San Antonio Spurs,
143,Orlando Magic,,Atlanta Hawks,
144,Miami Heat,,Boston Celtics,
145,Sacramento Kings,,Brooklyn Nets,
146,Chicago Bulls,,Cleveland Cavaliers,
147,Golden State Warriors,,Los Angeles Lakers,
148,New Orleans Pelicans,,Memphis Grizzlies,
149,Dallas Mavericks,,Milwaukee Bucks,
150,Oklahoma City Thunder,,New York Knicks,
151,Houston Rockets,,Philadelphia 76ers,
152,Portland Trail Blazers,,Utah Jazz,
153,Detroit Pistons,,Washington Wizards,
154,Los Angeles Clippers,,Dallas Mavericks,
155,Portland Trail Blazers,,Oklahoma City Thunder,
156,Minnesota Timberwolves,,Phoenix Suns,
157,Sacramento Kings,,Toronto Raptors,
158,Cleveland Cavaliers,,Boston Celtics,
159,Orlando Magic,,Brooklyn Nets,
160,Atlanta Hawks,,Chicago Bulls,
161,Toronto Raptors,,Indiana Pacers,
162,Charlotte Hornets,,Memphis Grizzlies,
163,Los Angeles Clippers,,Miami Heat,
164,Detroit Pistons,,New Orleans Pelicans,
165,Houston Rockets,,New York Knicks,
166,San Antonio Spurs,,Philadelphia 76ers,
167,Denver Nuggets,,Utah Jazz,
168,Minnesota Timberwolves,,Los Angeles Lakers,
169,New Orleans Pelicans,,Oklahoma City Thunder,
170,Portland Trail Blazers,,Phoenix Suns,
171,Golden State Warriors,,Washington Wizards,
172,New York Knicks,,Brooklyn Nets,
173,Los Angeles Clippers,,Chicago Bulls,
174,Miami Heat,,Cleveland Cavaliers,
175,Detroit Pistons,,Dallas Mavericks,
176,Phoenix Suns,,Denver Nuggets,
177,Toronto Raptors,,Houston Rockets,
178,Sacramento Kings,,Memphis Grizzlies,
179,Charlotte Hornets,,Milwaukee Bucks,
180,Washington Wizards,,Orlando Magic,
181,Minnesota Timberwolves,,Utah Jazz,
182,Golden State Warriors,,Boston Celtics,
183,Philadelphia 76ers,,Denver Nuggets,
184,Indiana Pacers,,Memphis Grizzlies,
185,San Antonio Spurs,,New Orleans Pelicans,
186,Atlanta Hawks,,Portland Trail Blazers,
187,Cleveland Cavaliers,,Chicago Bulls,
188,Toronto Raptors,,Dallas Mavericks,
189,Orlando Magic,,Houston Rockets,
190,Sacramento Kings,,Los Angeles Clippers,
191,Phoenix Suns,,Los Angeles Lakers,
192,Utah Jazz,,Minnesota Timberwolves,
193,Miami Heat,,New York Knicks,
194,Milwaukee Bucks,,Oklahoma City Thunder,
195,Washington Wizards,,San Antonio Spurs,
196,Brooklyn Nets,,Boston Celtics,
197,New York Knicks,,Charlotte Hornets,
198,Golden State Warriors,,Indiana Pacers,
199,Atlanta Hawks,,Los Angeles Clippers,
200,Denver Nuggets,,Memphis Grizzlies,
201,Chicago Bulls,,Brooklyn Nets,
202,Washington Wizards,,Cleveland Cavaliers,
203,Milwaukee Bucks,,Detroit Pistons,
204,New Orleans Pelicans,,Houston Rockets,
205,Philadelphia 76ers,,Los Angeles Lakers,
206,Oklahoma City Thunder,,Orlando Magic,
207,Phoenix Suns,,San Antonio Spurs,
208,Charlotte Hornets,,Boston Celtics,
209,Chicago Bulls,,Miami Heat,
210,Memphis Grizzlies,,Minnesota Timberwolves,
211,Denver Nuggets,,New Orleans Pelicans,
212,Dallas Mavericks,,New York Knicks,
213,Utah Jazz,,Portland Trail Blazers,
214,Atlanta Hawks,,Sacramento Kings,
215,Indiana Pacers,,Washington Wizards,
216,Dallas Mavericks,,Detroit Pistons,
217,Philadelphia 76ers,,Golden State Warriors,
218,Los Angeles Lakers,,Los Angeles Clippers,
219,Indiana Pacers,,Orlando Magic,
220,Brooklyn Nets,,San Antonio Spurs,
221,Milwaukee Bucks,,Toronto Raptors,
