Tm,FG%,3P%,FTA,FT%,PPS,AFG%
29,Atlanta,.473,.378,27.8,.758,1.33,.545
3,Boston,.441,.333,24.5,.748,1.22,.504
22,Brooklyn,.471,.353,24.5,.768,1.26,.523
20,Charlotte,.463,.348,21.8,.764,1.24,.529
14,Chicago,.458,.354,21.4,.783,1.23,.523
16,Cleveland,.487,.362,20.3,.759,1.28,.550
13,Dallas,.466,.356,21.0,.780,1.24,.529
2,Denver,.451,.324,22.4,.755,1.22,.511
11,Detroit,.460,.319,25.7,.781,1.26,.514
19,Golden State,.451,.339,24.5,.744,1.23,.514
10,Houston,.472,.343,25.1,.761,1.28,.530
0,Indiana,.437,.354,20.3,.760,1.19,.504
24,LA Clippers,.454,.344,25.8,.775,1.23,.508
18,LA Lakers,.449,.352,20.6,.799,1.19,.508
1,Memphis,.443,.355,23.9,.779,1.25,.508
6,Miami,.439,.358,25.0,.756,1.23,.504
9,Milwaukee,.431,.357,20.2,.741,1.16,.499
17,Minnesota,.456,.371,21.6,.765,1.24,.526
26,New Orleans,.466,.357,24.6,.748,1.26,.530
25,New York,.477,.365,24.4,.759,1.29,.543
4,Oklahoma City,.451,.337,22.6,.745,1.21,.508
8,Orlando,.465,.376,21.9,.768,1.25,.528
21,Philadelphia,.444,.340,24.9,.780,1.21,.499
23,Phoenix,.477,.346,26.1,.758,1.30,.535
15,Portland,.460,.376,22.1,.732,1.22,.523
27,Sacramento,.474,.344,25.0,.761,1.28,.537
12,San Antonio,.463,.359,19.7,.755,1.22,.527
7,Toronto,.450,.340,21.5,.757,1.19,.507
5,Utah,.463,.357,22.4,.737,1.23,.520
28,Washington,.473,.369,25.2,.793,1.30,.541
