Tm,FG%,3P%,FTA,FT%,PPS,AFG%
9,Atlanta,.444,.357,20.2,.772,1.19,.507
14,Boston,.450,.332,24.9,.769,1.23,.503
28,Brooklyn,.458,.366,25.0,.772,1.24,.513
12,Charlotte,.456,.369,18.2,.776,1.21,.523
5,Chicago,.456,.345,19.0,.770,1.18,.507
19,Cleveland,.458,.361,20.0,.773,1.21,.516
3,Dallas,.469,.380,22.3,.772,1.28,.529
26,Denver,.477,.375,21.9,.782,1.26,.532
6,Detroit,.460,.366,21.0,.780,1.23,.516
10,Golden State,.435,.324,23.2,.761,1.17,.486
25,Houston,.463,.343,22.2,.778,1.23,.519
13,Indiana,.451,.355,24.1,.789,1.25,.512
11,LA Clippers,.452,.350,23.4,.772,1.22,.506
27,LA Lakers,.483,.370,24.0,.762,1.30,.542
2,Memphis,.443,.354,26.9,.753,1.27,.506
4,Miami,.450,.343,23.7,.782,1.21,.496
8,Milwaukee,.458,.353,23.2,.771,1.25,.518
17,Minnesota,.475,.366,22.9,.768,1.28,.535
16,New Orleans,.450,.353,20.7,.762,1.20,.509
22,New York,.455,.348,24.2,.771,1.24,.511
15,Oklahoma City,.459,.356,24.3,.764,1.24,.511
21,Orlando,.467,.368,22.7,.766,1.25,.523
23,Philadelphia,.461,.357,26.0,.773,1.26,.513
29,Phoenix,.467,.382,29.1,.783,1.31,.525
24,Portland,.455,.370,26.5,.785,1.26,.508
18,Sacramento,.462,.364,24.2,.778,1.28,.528
1,San Antonio,.443,.344,20.8,.771,1.18,.492
7,Toronto,.449,.354,23.8,.780,1.24,.507
0,Utah,.443,.358,20.7,.769,1.18,.493
20,Washington,.466,.364,24.2,.751,1.26,.524
