Tm,FG%,3P%,FTA,FT%,PPS,AFG%
19,Atlanta,.447,.330,23.9,.743,1.22,.512
11,Boston,.452,.360,20.3,.797,1.23,.524
13,Brooklyn,.453,.363,25.2,.742,1.26,.523
7,Charlotte,.455,.359,23.3,.794,1.24,.520
29,Chicago,.443,.342,19.6,.773,1.17,.498
27,Cleveland,.444,.351,20.1,.782,1.17,.494
15,Dallas,.455,.346,27.5,.749,1.28,.523
18,Denver,.461,.347,22.2,.749,1.22,.520
20,Detroit,.436,.329,25.5,.721,1.20,.497
3,Golden State,.480,.376,21.8,.821,1.30,.547
17,Houston,.448,.346,24.1,.759,1.28,.533
23,Indiana,.476,.373,20.6,.746,1.24,.530
2,LA Clippers,.477,.387,28.7,.805,1.33,.532
8,LA Lakers,.481,.348,23.0,.694,1.26,.540
28,Memphis,.456,.355,22.3,.758,1.24,.515
24,Miami,.434,.359,24.3,.695,1.19,.502
0,Milwaukee,.473,.344,22.9,.763,1.29,.547
14,Minnesota,.450,.360,24.0,.803,1.23,.507
1,New Orleans,.476,.351,25.4,.766,1.28,.531
21,New York,.435,.343,23.9,.770,1.18,.490
10,Oklahoma City,.456,.327,24.9,.704,1.21,.510
26,Orlando,.443,.352,18.2,.773,1.17,.506
5,Philadelphia,.468,.354,27.1,.775,1.30,.532
25,Phoenix,.456,.337,19.5,.784,1.20,.514
16,Portland,.453,.357,22.9,.813,1.24,.514
4,Sacramento,.471,.385,23.3,.708,1.25,.534
12,San Antonio,.475,.400,21.3,.826,1.26,.530
6,Toronto,.480,.343,20.8,.806,1.27,.544
22,Utah,.461,.342,25.5,.716,1.27,.526
9,Washington,.465,.328,25.0,.756,1.26,.525
