Tm,FG%,3P%,FTA,FT%,PPS,AFG%
11,Atlanta,.458,.350,20.0,.783,1.22,.516
4,Boston,.439,.335,23.5,.788,1.18,.488
25,Brooklyn,.453,.352,20.7,.757,1.17,.492
10,Charlotte,.439,.362,23.7,.790,1.22,.502
20,Chicago,.441,.371,21.0,.787,1.16,.487
7,Cleveland,.460,.362,21.7,.748,1.24,.524
15,Dallas,.444,.344,22.3,.794,1.22,.502
19,Denver,.442,.338,24.1,.766,1.19,.489
18,Detroit,.439,.345,25.5,.668,1.18,.491
0,Golden State,.487,.416,21.8,.763,1.32,.563
3,Houston,.452,.347,29.4,.694,1.28,.516
16,Indiana,.450,.351,22.8,.764,1.20,.497
6,LA Clippers,.465,.364,26.2,.692,1.27,.524
29,LA Lakers,.414,.317,24.7,.781,1.15,.460
23,Memphis,.440,.331,24.7,.783,1.18,.477
22,Miami,.470,.336,23.0,.744,1.23,.508
24,Milwaukee,.467,.345,22.7,.747,1.21,.499
14,Minnesota,.464,.338,27.0,.792,1.26,.498
12,New Orleans,.448,.360,22.2,.776,1.20,.498
26,New York,.439,.346,21.4,.805,1.17,.483
1,Oklahoma City,.476,.348,25.2,.782,1.28,.524
17,Orlando,.455,.350,20.1,.757,1.18,.500
28,Philadelphia,.431,.339,22.6,.694,1.16,.487
21,Phoenix,.435,.348,23.2,.751,1.18,.487
5,Portland,.450,.370,23.0,.754,1.22,.511
2,Sacramento,.464,.359,25.5,.725,1.23,.510
9,San Antonio,.484,.375,20.4,.803,1.25,.526
13,Toronto,.451,.370,26.7,.777,1.26,.504
27,Utah,.449,.355,23.0,.744,1.21,.501
8,Washington,.460,.358,22.5,.730,1.21,.511
