Tm,ORPG,OppORPG,DRPG,OppDRPG,RPG,OppRPG,Diff
13,Atlanta,11.4,10.2,33.8,35.5,45.2,45.7,-0.5
15,Boston,10.2,9.9,34.8,35.5,45.0,45.4,-0.4
14,Brooklyn,11.4,10.4,33.7,33.9,45.1,44.2,+0.9
19,Charlotte,9.7,10.5,34.5,36.1,44.2,46.6,-2.4
26,Chicago,7.6,10.8,34.0,37.0,41.5,47.9,-6.4
23,Cleveland,11.1,9.9,31.9,33.7,43.0,43.6,-0.6
10,Dallas,10.2,10.1,35.6,33.0,45.8,43.2,+2.6
6,Denver,12.3,9.9,34.7,32.3,46.9,42.3,+4.6
7,Detroit,12.3,8.8,34.4,35.6,46.7,44.3,+2.4
9,Golden State,9.8,10.0,36.2,33.4,45.9,43.4,+2.5
25,Houston,11.1,10.0,31.1,32.9,42.1,42.9,-0.8
22,Indiana,9.2,10.3,34.7,32.5,43.9,42.8,+1.1
11,LA Clippers,9.8,11.8,36.0,34.1,45.8,45.9,-0.1
8,LA Lakers,9.7,11.4,36.8,35.2,46.6,46.6,0.0
29,Memphis,7.6,9.5,31.9,35.0,39.5,44.5,-5.0
3,Miami,12.4,10.4,35.2,34.1,47.6,44.5,+3.1
0,Milwaukee,9.5,9.6,40.2,34.8,49.7,44.4,+5.3
21,Minnesota,11.2,11.7,32.8,34.5,44.0,46.2,-2.2
5,New Orleans,11.5,10.8,35.6,33.2,47.2,44.1,+3.1
16,New York,11.6,10.7,33.3,36.8,44.9,47.5,-2.6
1,Oklahoma City,12.9,9.9,35.9,34.6,48.8,44.6,+4.2
24,Orlando,9.1,9.7,33.8,35.8,43.0,45.5,-2.5
4,Philadelphia,10.4,10.0,37.2,33.9,47.5,43.9,+3.6
27,Phoenix,9.1,10.8,31.8,35.1,40.9,45.8,-4.9
2,Portland,11.3,10.3,37.2,33.9,48.5,44.2,+4.3
17,Sacramento,10.5,11.5,34.0,37.4,44.6,48.8,-4.2
18,San Antonio,9.6,9.7,34.9,34.3,44.6,43.9,+0.7
12,Toronto,10.3,11.1,35.1,33.4,45.4,44.5,+0.9
20,Utah,9.6,8.8,34.7,33.7,44.2,42.5,+1.7
28,Washington,8.9,12.0,31.5,36.2,40.4,48.2,-7.8
