Tm,ORPG,OppORPG,DRPG,OppDRPG,RPG,OppRPG,Diff
23,Atlanta,8.3,11.5,33.8,35.0,42.1,46.5,-4.4
5,Boston,11.6,11.4,33.3,34.6,44.9,46.0,-1.1
22,Brooklyn,10.5,10.2,31.9,33.2,42.4,43.4,-1.0
13,Charlotte,9.0,8.9,35.0,35.8,43.9,44.7,-0.8
2,Chicago,11.1,11.8,35.2,34.1,46.3,45.9,+0.4
8,Cleveland,10.6,9.3,33.9,31.8,44.5,41.0,+3.5
18,Dallas,9.2,10.6,33.9,35.2,43.1,45.8,-2.7
7,Denver,11.5,9.7,33.1,32.9,44.6,42.7,+1.9
1,Detroit,12.5,8.8,33.9,33.7,46.3,42.5,+3.8
3,Golden State,10.0,11.4,36.2,32.5,46.2,43.9,+2.3
19,Houston,11.3,11.8,31.7,32.8,43.1,44.6,-1.5
11,Indiana,10.3,10.7,33.9,33.8,44.2,44.5,-0.3
24,LA Clippers,8.8,11.8,33.3,34.9,42.0,46.7,-4.7
20,LA Lakers,10.7,10.9,32.3,35.5,43.0,46.5,-3.5
27,Memphis,11.2,10.1,30.5,33.1,41.6,43.2,-1.6
12,Miami,9.8,9.8,34.3,31.5,44.1,41.3,+2.8
26,Milwaukee,10.5,11.5,31.2,31.5,41.7,43.0,-1.3
28,Minnesota,10.0,10.7,31.5,31.2,41.6,41.9,-0.3
21,New Orleans,9.5,8.9,33.1,35.5,42.6,44.4,-1.8
9,New York,10.4,10.9,34.0,33.3,44.4,44.2,+0.2
0,Oklahoma City,13.1,11.3,35.6,28.9,48.6,40.2,+8.4
16,Orlando,10.3,10.1,33.0,34.1,43.3,44.3,-1.0
29,Philadelphia,9.5,11.1,31.8,36.4,41.2,47.6,-6.4
6,Phoenix,11.5,9.9,33.3,33.8,44.8,43.7,+1.1
4,Portland,11.6,10.6,33.9,33.1,45.5,43.7,+1.8
10,Sacramento,10.6,11.3,33.7,33.7,44.2,45.0,-0.8
14,San Antonio,9.4,9.1,34.5,31.4,43.9,40.5,+3.4
15,Toronto,10.2,9.5,33.2,31.2,43.4,40.8,+2.6
17,Utah,10.7,9.3,32.5,30.8,43.2,40.1,+3.1
25,Washington,9.1,9.4,32.8,34.9,41.8,44.3,-2.5
