Teams,Team1,Team2
0,Buffalo Bills - Miami Dolphins,-233,+191
1,Green Bay Packers - Detroit Lions,-357,+284
2,Houston Texans - Jacksonville Jaguars,-312,+252
3,New England Patriots - New York Jets,-833,+557
4,New Orleans Saints - Carolina Panthers,-333,+269
5,New York Giants - Dallas Cowboys,-256,+210
6,Tampa Bay Buccaneers - Atlanta Falcons,+108,-128
7,Baltimore Ravens - Cleveland Browns,-278,+229
8,Denver Broncos - Los Angeles Chargers,+233,-286
9,Kansas City Chiefs - Oakland Raiders,-833,+571
10,Los Angeles Rams - San Francisco 49ers,-500,+384
11,Minnesota Vikings - Chicago Bears,-244,+202
12,Pittsburgh Steelers - Cincinnati Bengals,-909,+612
13,Seattle Seahawks - Arizona Cardinals,-769,+529
14,Washington Redskins - Philadelphia Eagles,+246,-303
15,Tennessee Titans - Indianapolis Colts,+150,-179
