Tm,Percentage,Yds,Yds/A,TD,Int,Passer Rating,Yds/G
4,Arizona,68.0,3153,7.1,20,6,97.0,210
24,Atlanta,68.4,3812,7.4,29,14,96.8,254
3,Baltimore,58.7,2984,6.1,18,9,80.7,199
0,Buffalo,63.9,2741,6.4,21,14,84.5,183
20,Carolina,66.9,3737,7.8,31,12,100.7,249
7,Chicago,61.3,3414,6.4,21,27,72.5,228
29,Cincinnati,66.4,4136,8.0,31,11,101.3,276
26,Cleveland,63.0,3958,7.0,21,17,83.4,264
8,Dallas,68.5,3457,7.4,20,8,96.4,230
21,Denver,64.6,3769,7.7,25,15,92.1,251
9,Detroit,66.7,3470,8.2,29,6,107.5,231
10,Green Bay,63.8,3480,7.7,27,7,99.6,232
28,Houston,65.4,4078,7.7,28,14,94.9,272
16,Indianapolis,71.3,3640,7.5,20,13,95.4,243
1,Jacksonville,61.9,2905,6.7,17,11,84.0,194
30,Kansas City,63.8,4209,7.6,30,13,94.4,281
6,LA Chargers,64.0,3358,7.2,22,12,90.0,224
12,LA Rams,64.8,3516,7.6,28,15,94.1,234
18,Miami,66.0,3717,8.1,28,20,93.0,248
2,Minnesota,62.3,2977,7.0,15,12,83.1,198
17,NY Giants,64.9,3676,7.4,20,16,87.2,245
25,NY Jets,62.5,3821,7.5,25,13,90.6,255
23,New England,61.4,3808,7.0,29,18,86.0,254
27,New Orleans,67.4,4039,8.0,28,12,99.7,269
13,Oakland,62.5,3543,8.0,34,13,100.5,236
31,Philadelphia,67.6,4240,7.6,22,9,95.9,283
15,Pittsburgh,64.6,3626,7.3,27,8,96.7,242
11,San Francisco,63.7,3510,7.3,31,2,104.1,234
19,Seattle,65.8,3729,7.7,25,12,95.6,249
22,Tampa Bay,72.6,3771,8.2,31,8,111.0,251
5,Tennessee,62.9,3193,6.9,18,10,86.9,213
14,Washington,66.2,3563,7.7,24,14,93.4,238
