Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
13,Arizona,58.7,3728,6.5,29,20,80.3,233
20,Atlanta,66.1,3897,8.0,31,10,102.4,244
11,Baltimore,56.9,3681,7.1,25,16,82.2,230
3,Buffalo,55.3,3271,6.5,28,23,74.9,204
5,Carolina,66.6,3429,6.8,17,20,81.4,214
14,Chicago,62.1,3730,7.7,25,19,86.9,233
4,Cincinnati,59.0,3344,5.9,22,20,74.2,209
7,Cleveland,60.0,3538,6.2,29,14,84.1,221
29,Dallas,64.7,4589,7.8,33,15,96.0,287
26,Denver,58.2,4070,7.1,29,17,84.5,254
22,Detroit,59.1,3950,7.3,24,15,85.0,247
23,Green Bay,61.6,3956,7.8,30,11,95.9,247
2,Houston,59.3,3123,6.8,29,7,93.9,195
12,Indianapolis,60.4,3711,7.4,21,15,84.6,232
25,Jacksonville,64.2,3962,7.6,29,11,96.5,248
24,Kansas City,56.4,3962,7.2,25,21,78.5,248
28,LA Chargers,66.4,4139,8.0,23,11,96.4,259
18,LA Rams,68.1,3874,8.1,21,14,94.7,242
15,Miami,59.3,3752,6.9,17,18,77.3,235
30,Minnesota,64.7,4595,7.5,37,12,98.6,287
9,NY Giants,60.1,3573,6.3,21,17,78.3,223
21,NY Jets,58.9,3947,7.1,26,13,86.5,247
17,New England,57.0,3824,7.0,25,17,81.0,239
1,New Orleans,60.0,3105,6.8,20,12,83.6,194
27,Oakland,68.1,4092,7.9,33,9,105.1,256
31,Philadelphia,60.9,4636,7.3,25,19,84.0,290
8,Pittsburgh,57.8,3553,6.6,21,10,82.7,222
6,San Francisco,59.0,3536,6.5,19,18,76.4,221
0,Seattle,59.0,2752,5.8,16,28,63.4,172
16,Tampa Bay,64.4,3806,7.4,30,21,88.9,238
10,Tennessee,63.1,3612,7.0,15,13,83.3,226
19,Washington,65.6,3896,8.0,29,16,96.1,244
