Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
31,Arizona,57.2,2523,5.8,15,18,69.0,158
3,Atlanta,69.4,4653,8.0,36,7,108.0,291
21,Baltimore,60.1,3558,6.7,18,9,84.0,222
30,Buffalo,54.3,2794,6.2,13,23,62.6,175
15,Carolina,67.1,3836,7.2,28,16,92.9,240
20,Chicago,67.2,3564,7.3,28,14,95.4,223
23,Cincinnati,61.1,3290,6.6,27,13,87.0,206
13,Cleveland,61.5,4007,7.4,29,17,88.8,250
22,Dallas,67.6,3538,7.4,22,8,96.7,221
18,Denver,62.4,3695,6.7,19,15,82.1,231
19,Detroit,65.3,3576,6.7,22,12,88.5,224
8,Green Bay,61.3,4238,7.2,25,4,93.7,265
16,Houston,68.2,3781,8.2,26,9,102.9,236
5,Indianapolis,67.1,4461,7.1,39,15,98.2,279
25,Jacksonville,61.4,3109,6.4,15,13,79.1,194
2,Kansas City,66.0,4955,8.8,50,12,113.8,310
9,LA Chargers,68.0,4089,8.4,32,12,104.9,256
4,LA Rams,64.8,4507,8.3,32,12,100.7,282
29,Miami,64.2,2900,7.3,26,13,93.0,181
12,Minnesota,70.1,4036,7.1,30,10,99.7,252
10,NY Giants,65.5,4047,7.6,23,12,92.7,253
24,NY Jets,57.1,3165,6.5,18,19,73.0,198
7,New England,65.9,4258,7.7,29,11,97.8,266
11,New Orleans,73.4,4042,8.0,33,7,112.3,253
17,Oakland,68.7,3751,7.3,19,10,93.6,234
6,Philadelphia,70.5,4275,7.6,29,11,100.8,267
1,Pittsburgh,66.6,5008,7.5,35,17,95.5,313
14,San Francisco,62.2,3867,8.0,26,20,87.8,242
26,Seattle,65.6,3093,8.1,35,7,110.9,193
0,Tampa Bay,65.3,5125,8.6,36,26,94.1,320
28,Tennessee,67.0,2975,7.4,16,12,89.8,186
27,Washington,61.1,3021,6.5,16,15,78.1,189
