Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
27,Arizona,55.4,3005,5.6,11,21,63.1,188
5,Atlanta,68.6,4509,7.7,32,14,99.1,282
14,Baltimore,59.6,3739,7.1,22,11,86.4,234
24,Buffalo,60.5,3269,6.7,24,17,82.2,204
15,Carolina,58.0,3683,8.0,19,12,86.5,230
28,Chicago,59.2,2999,6.8,21,16,80.4,187
16,Cincinnati,62.0,3578,7.1,28,16,88.1,224
18,Cleveland,58.0,3435,6.5,16,18,73.6,215
2,Dallas,66.0,4729,7.6,29,19,91.3,296
4,Denver,68.4,4534,7.9,37,11,105.3,283
1,Detroit,60.1,4927,6.9,22,17,81.5,308
8,Green Bay,67.0,4049,7.8,40,8,108.3,253
10,Houston,63.9,3830,7.3,22,13,89.2,239
6,Indianapolis,54.0,4128,7.0,23,18,76.4,258
20,Jacksonville,56.0,3419,6.4,20,17,74.7,214
31,Kansas City,57.5,2713,6.2,8,20,63.8,170
23,LA Chargers,64.0,3295,6.8,26,15,88.5,206
17,LA Rams,59.6,3550,6.8,22,14,82.7,222
25,Miami,58.1,3182,6.8,13,13,76.7,199
30,Minnesota,62.1,2751,6.1,18,12,81.2,172
11,NY Giants,59.9,3825,7.4,26,15,87.2,239
29,NY Jets,55.2,2891,6.4,14,19,68.3,181
3,New England,62.7,4662,7.6,34,9,97.7,291
0,New Orleans,63.0,4997,7.7,43,19,96.4,312
7,Oakland,59.8,4084,6.8,24,16,82.5,255
12,Philadelphia,59.4,3791,6.6,18,15,78.6,237
13,Pittsburgh,61.7,3787,7.0,27,14,88.1,237
22,San Francisco,66.3,3298,8.1,23,8,101.2,206
26,Seattle,64.0,3031,8.0,27,10,100.6,189
9,Tampa Bay,54.9,3983,7.3,27,17,81.8,249
21,Tennessee,58.9,3323,6.6,17,16,76.9,208
19,Washington,65.8,3422,8.3,24,8,102.1,214
