Tm,ReYds,Average,TD,ReYds/G
3,Arizona,3595,10.5,21,224.7
26,Atlanta,4408,11.1,33,275.5
4,Baltimore,3651,10.8,21,228.2
0,Buffalo,3084,9.9,22,192.8
14,Carolina,4062,11.5,32,253.9
6,Chicago,3854,10.2,22,240.9
28,Cincinnati,4587,11.8,32,286.7
24,Cleveland,4370,11.1,21,273.1
11,Dallas,3984,10.9,22,249.0
22,Denver,4240,12.0,26,265.0
8,Detroit,3897,12.1,29,243.6
15,Green Bay,4074,12.1,30,254.6
27,Houston,4477,11.6,28,279.8
12,Indianapolis,4033,10.5,21,252.1
1,Jacksonville,3354,10.8,17,209.6
31,Kansas City,4721,11.6,30,295.1
7,LA Chargers,3886,11.1,23,242.9
18,LA Rams,4106,11.8,31,256.6
19,Miami,4141,12.4,31,258.8
2,Minnesota,3501,11.1,15,218.8
21,NY Giants,4229,11.7,24,264.3
23,NY Jets,4358,11.9,29,272.4
20,New England,4181,11.3,29,261.3
30,New Orleans,4623,12.0,30,288.9
9,Oakland,3933,13.2,36,245.8
29,Philadelphia,4619,11.1,22,288.7
13,Pittsburgh,4044,11.2,27,252.8
10,San Francisco,3959,11.5,35,247.4
17,Seattle,4103,11.6,26,256.4
25,Tampa Bay,4383,11.3,34,273.9
5,Tennessee,3719,11.0,21,232.4
16,Washington,4091,11.3,27,255.7
