Tm,ReYds,Average,TD,ReYds/G
4,Arizona,3739,10.9,21,233.7
27,Atlanta,4495,10.7,31,280.9
9,Baltimore,3947,10.7,28,246.7
6,Buffalo,3835,12.5,19,239.7
28,Carolina,4561,11.2,27,285.1
5,Chicago,3828,11.2,22,239.3
10,Cincinnati,3985,10.7,22,249.1
19,Cleveland,4173,12.0,36,260.8
24,Dallas,4376,10.3,25,273.5
0,Denver,3200,10.5,13,200.0
17,Detroit,4136,10.4,33,258.5
31,Green Bay,4603,12.4,32,287.7
1,Houston,3424,10.7,20,214.0
26,Indianapolis,4411,11.7,27,275.7
2,Jacksonville,3627,10.5,20,226.7
16,Kansas City,4120,11.8,23,257.5
20,LA Chargers,4217,11.6,21,263.6
8,LA Rams,3928,10.4,32,245.5
15,Miami,4101,11.1,30,256.3
3,Minnesota,3637,11.0,22,227.3
22,NY Giants,4260,11.5,15,266.3
14,NY Jets,4077,11.7,30,254.8
12,New England,4033,11.0,21,252.1
30,New Orleans,4593,12.2,27,287.1
23,Oakland,4267,13.0,27,266.7
13,Philadelphia,4039,12.1,25,252.4
18,Pittsburgh,4141,10.9,20,258.8
11,San Francisco,4013,12.5,30,250.8
7,Seattle,3884,11.7,16,242.8
21,Tampa Bay,4246,12.2,24,265.4
29,Tennessee,4585,11.8,25,286.6
25,Washington,4383,11.3,22,273.9
