Tm,ReYds,Average,TD,ReYds/G
31,Arizona,2884,10.2,15,180.3
3,Atlanta,4949,11.6,36,309.3
22,Baltimore,3708,11.1,18,231.8
30,Buffalo,3082,11.4,13,192.6
16,Carolina,4071,10.8,28,254.4
21,Chicago,3747,10.9,28,234.2
23,Cincinnati,3569,10.8,27,223.1
12,Cleveland,4261,12.1,29,266.3
19,Dallas,3885,10.9,22,242.8
18,Denver,3930,10.7,19,245.6
20,Detroit,3844,10.3,22,240.3
5,Green Bay,4629,11.8,25,289.3
15,Houston,4165,12.1,26,260.3
6,Indianapolis,4595,10.6,39,287.2
25,Jacksonville,3431,10.4,15,214.4
2,Kansas City,5126,13.3,50,320.4
10,LA Chargers,4316,12.4,32,269.8
4,LA Rams,4730,12.9,32,295.6
27,Miami,3309,11.3,26,206.8
11,Minnesota,4298,10.1,30,268.6
9,NY Giants,4405,11.5,23,275.3
26,NY Jets,3404,11.4,18,212.8
8,New England,4405,11.7,29,275.3
14,New Orleans,4174,11.0,33,260.9
17,Oakland,4057,10.6,19,253.6
7,Philadelphia,4524,10.7,29,282.8
1,Pittsburgh,5174,11.3,35,323.4
13,San Francisco,4247,12.8,26,265.4
24,Seattle,3448,12.3,35,215.5
0,Tampa Bay,5358,13.1,36,334.9
29,Tennessee,3255,11.1,16,203.4
28,Washington,3287,10.6,16,205.4
