Tm,Yds,RYds/A,TD,RYds/G
31,Arizona,2479,4.9,25,154.9
24,Atlanta,1999,4.9,16,124.9
3,Baltimore,1327,3.7,11,82.9
15,Buffalo,1839,4.2,17,114.9
11,Carolina,1804,4.7,13,112.8
0,Chicago,1280,3.8,5,80.0
28,Cincinnati,2204,4.7,17,137.8
27,Cleveland,2163,4.7,20,135.2
4,Dallas,1513,3.8,12,94.6
20,Denver,1913,4.5,11,119.6
9,Detroit,1761,4.4,11,110.1
21,Green Bay,1918,4.3,15,119.9
2,Houston,1323,3.4,8,82.7
7,Indianapolis,1626,3.9,12,101.6
18,Jacksonville,1870,4.3,16,116.9
26,Kansas City,2114,5.0,19,132.1
8,LA Chargers,1693,4.3,11,105.8
22,LA Rams,1957,5.1,12,122.3
30,Miami,2325,4.8,17,145.3
14,Minnesota,1815,4.1,13,113.4
19,NY Giants,1898,4.3,18,118.6
25,NY Jets,2021,4.6,16,126.3
10,New England,1803,4.9,7,112.7
1,New Orleans,1283,3.6,12,80.2
29,Oakland,2249,4.7,16,140.6
6,Philadelphia,1551,4.7,14,96.9
5,Pittsburgh,1538,4.2,13,96.1
13,San Francisco,1814,4.1,13,113.4
12,Seattle,1811,4.9,9,113.2
23,Tampa Bay,1983,4.7,19,123.9
17,Tennessee,1863,4.3,9,116.4
16,Washington,1860,4.5,12,116.3
