Tm,Yds,RYds/A,TD,RYds/G
27,Arizona,2192,4.3,12,137.0
20,Atlanta,1971,4.8,16,123.2
19,Baltimore,1965,4.0,15,122.8
30,Buffalo,2333,5.0,23,145.8
13,Carolina,1761,4.2,11,110.1
7,Chicago,1627,4.2,6,101.7
11,Cincinnati,1715,4.1,13,107.2
18,Cleveland,1898,4.2,14,118.6
21,Dallas,2003,4.5,17,125.2
2,Denver,1458,3.6,5,91.1
15,Detroit,1889,4.5,13,118.1
16,Green Bay,1896,4.5,12,118.5
6,Houston,1560,4.0,5,97.5
28,Indianapolis,2200,5.1,14,137.5
29,Jacksonville,2256,4.1,19,141.0
26,Kansas City,2171,4.5,11,135.7
5,LA Chargers,1542,3.8,10,96.4
14,LA Rams,1880,4.3,18,117.5
12,Miami,1734,4.0,10,108.4
10,Minnesota,1692,4.0,10,105.8
24,NY Giants,2066,4.6,9,129.1
25,NY Jets,2138,4.3,17,133.6
8,New England,1630,3.9,10,101.9
31,New Orleans,2361,5.2,18,147.6
17,Oakland,1897,4.3,18,118.6
22,Philadelphia,2021,4.2,11,126.3
1,Pittsburgh,1450,3.7,9,90.6
3,San Francisco,1507,3.7,7,94.2
9,Seattle,1649,4.5,8,103.1
0,Tampa Bay,1320,3.5,13,82.5
23,Tennessee,2035,4.2,16,127.2
4,Washington,1532,4.2,11,95.8
