Tm,Yds,RYds/A,TD,RYds/G
31,Arizona,1342,3.8,9,83.9
26,Atlanta,1573,4.5,11,98.3
1,Baltimore,2441,4.5,19,152.6
8,Buffalo,1984,4.2,15,124.0
3,Carolina,2136,5.1,17,133.5
10,Chicago,1938,4.1,16,121.1
20,Cincinnati,1682,4.7,13,105.1
13,Cleveland,1893,4.6,15,118.3
9,Dallas,1963,4.5,13,122.7
11,Denver,1907,4.9,18,119.2
22,Detroit,1660,4.1,11,103.8
21,Green Bay,1667,5.0,14,104.2
7,Houston,2021,4.3,12,126.3
19,Indianapolis,1718,4.2,13,107.4
18,Jacksonville,1723,4.1,7,107.7
15,Kansas City,1855,4.8,16,115.9
14,LA Chargers,1873,4.7,16,117.1
2,LA Rams,2231,4.9,23,139.4
17,Miami,1738,4.7,7,108.6
29,Minnesota,1493,4.2,9,93.3
23,NY Giants,1650,4.7,13,103.1
25,NY Jets,1622,4.0,11,101.4
4,New England,2037,4.3,18,127.3
5,New Orleans,2025,4.3,26,126.6
24,Oakland,1628,4.2,9,101.8
27,Philadelphia,1570,3.9,12,98.1
30,Pittsburgh,1445,4.2,16,90.3
12,San Francisco,1902,4.5,7,118.9
0,Seattle,2560,4.8,15,160.0
28,Tampa Bay,1523,3.9,11,95.2
6,Tennessee,2023,4.5,15,126.4
16,Washington,1774,4.3,12,110.9
