Tm,Yds,RYds/A,TD,RYds/G
29,Arizona,1386,3.4,6,86.6
12,Atlanta,1847,4.3,12,115.4
10,Baltimore,1856,4.0,14,116.0
5,Buffalo,2017,4.1,12,126.1
3,Carolina,2102,4.3,15,131.4
15,Chicago,1788,4.2,13,111.8
30,Cincinnati,1366,3.6,6,85.4
17,Cleveland,1714,4.5,11,107.1
1,Dallas,2170,4.5,18,135.6
11,Denver,1852,4.1,8,115.8
31,Detroit,1221,3.4,10,76.3
16,Green Bay,1724,4.5,13,107.8
13,Houston,1842,4.1,8,115.1
21,Indianapolis,1661,3.7,11,103.8
0,Jacksonville,2262,4.3,18,141.4
8,Kansas City,1903,4.7,12,118.9
23,LA Chargers,1595,3.8,10,99.7
7,LA Rams,1953,4.3,17,122.1
28,Miami,1388,3.9,4,86.8
6,Minnesota,1957,3.9,15,122.3
25,NY Giants,1549,3.9,6,96.8
18,NY Jets,1702,4.0,13,106.4
9,New England,1889,4.2,16,118.1
4,New Orleans,2070,4.7,23,129.4
24,Oakland,1554,4.2,13,97.1
2,Philadelphia,2115,4.5,9,132.2
19,Pittsburgh,1667,3.8,12,104.2
20,San Francisco,1664,4.1,15,104.0
22,Seattle,1629,4.0,4,101.8
26,Tampa Bay,1450,3.7,8,90.6
14,Tennessee,1833,4.1,18,114.6
27,Washington,1448,3.6,10,90.5
