Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
Jacksonville Jaguars,16,527,2262,18,90,4.3,141.4,24,-5.53
Dallas Cowboys,16,480,2170,18,70,4.5,135.6,11,47.09
Philadelphia Eagles,16,473,2115,9,71,4.5,132.2,25,-35.77
Carolina Panthers,16,490,2102,15,69,4.3,131.4,19,-24.58
New Orleans Saints,16,444,2070,23,74,4.7,129.4,19,12.92
Buffalo Bills,16,487,2017,12,48,4.1,126.1,17,-35.28
Minnesota Vikings,16,501,1957,15,58,3.9,122.3,11,-51.54
Los Angeles Rams,16,454,1953,17,57,4.3,122.1,29,-15.67
Kansas City Chiefs,16,405,1903,12,70,4.7,118.9,14,-3.80
New England Patriots,16,448,1889,16,44,4.2,118.1,13,-12.30
Baltimore Ravens,16,460,1856,14,50,4.0,116.0,19,-9.32
Denver Broncos,16,457,1852,8,40,4.1,115.8,26,-26.92
Atlanta Falcons,16,430,1847,12,52,4.3,115.4,17,-41.81
Houston Texans,16,448,1842,8,49,4.1,115.1,25,-21.42
Tennessee Titans,16,443,1833,18,75,4.1,114.6,10,-2.63
Chicago Bears,16,422,1788,13,53,4.2,111.8,24,-21.57
Green Bay Packers,16,386,1724,13,46,4.5,107.8,14,25.20
Cleveland Browns,16,384,1714,11,59,4.5,107.1,25,8.93
New York Jets,16,427,1702,13,75,4.0,106.4,25,-52.89
Pittsburgh Steelers,16,437,1667,12,29,3.8,104.2,15,-42.32
San Francisco 49ers,16,408,1662,15,61,4.1,103.9,14,-23.66
Indianapolis Colts,16,451,1661,11,35,3.7,103.8,20,-34.64
Seattle Seahawks,16,409,1629,4,33,4.0,101.8,18,-45.07
Los Angeles Chargers,16,419,1595,10,87,3.8,99.7,17,-38.17
Oakland Raiders,16,370,1554,13,52,4.2,97.1,33,-22.49
New York Giants,16,394,1549,6,75,3.9,96.8,20,-37.38
Tampa Bay Buccaneers,16,390,1448,8,36,3.7,90.5,27,-39.81
Washington Redskins,16,401,1448,10,61,3.6,90.5,28,-52.87
Miami Dolphins,16,360,1388,4,69,3.9,86.8,23,-53.42
Arizona Cardinals,16,410,1386,6,33,3.4,86.6,19,-67.36
Cincinnati Bengals,16,377,1366,6,25,3.6,85.4,22,-53.02
Detroit Lions,16,363,1221,10,34,3.4,76.3,21,-72.52
