Tm,G,PF,OYds,Ply,OY/P,FTO,FL,1stD,Cmp,Att,OPYds,OPTD,FInt,OPNY/A,1stD,Att,ORYds,ORTD,ORY/A,1stD,Pen,DPenYds,1stPy,OSc%,DTO%,EXP
Arizona Cardinals,15,398,5450,1004,5.4,15,9,341,330,485,3153,20,6,6.0,179,476,2297,23,4.8,131,99,780,31,38.2,8.7,-90.04
Atlanta Falcons,15,391,5719,975,5.9,18,4,353,376,550,3812,29,14,6.5,210,389,1907,16,4.9,111,105,971,32,40.9,10.7,-145.20
Baltimore Ravens,15,263,4260,918,4.6,14,5,268,314,535,2983,18,9,5.2,158,340,1277,11,3.8,81,109,982,29,28.7,8.4,40.20
Buffalo Bills,15,357,4481,907,4.9,23,9,276,294,460,2741,21,14,5.6,148,415,1740,17,4.2,103,95,941,25,34.5,13.0,3.91
Carolina Panthers,15,368,5357,897,6.0,22,10,298,339,507,3737,31,12,6.9,177,357,1620,12,4.5,101,85,711,20,39.1,13.0,-112.75
Chicago Bears,15,273,4631,952,4.9,36,9,266,357,582,3414,21,27,5.4,180,324,1217,5,3.8,64,111,992,22,29.1,20.6,86.41
Cincinnati Bengals,15,439,6275,1018,6.2,17,6,354,358,539,4136,31,11,7.2,208,446,2139,17,4.8,120,104,874,26,47.0,10.2,-171.47
Cleveland Browns,15,366,5825,1049,5.6,30,13,353,379,602,3958,21,17,6.2,210,412,1867,18,4.5,114,109,925,29,34.4,15.9,-38.77
Dallas Cowboys,15,289,4827,914,5.3,18,10,289,343,501,3457,20,8,6.4,181,375,1370,10,3.7,81,78,603,27,35.3,11.5,-15.76
Denver Broncos,15,326,5566,967,5.8,24,9,301,339,525,3769,25,15,6.6,187,399,1797,10,4.5,80,117,955,34,35.3,13.3,-46.31
Detroit Lions,15,360,5185,886,5.9,13,7,306,304,456,3470,29,6,7.0,186,390,1715,11,4.4,85,89,848,35,36.6,6.8,-118.06
Green Bay Packers,15,369,5268,945,5.6,15,8,306,315,494,3480,27,7,6.5,183,408,1788,14,4.4,93,94,758,30,37.2,8.7,-86.27
Houston Texans,15,313,5371,975,5.5,27,13,292,370,566,4078,28,14,6.7,196,369,1293,8,3.5,74,109,877,22,33.1,14.3,-13.74
Indianapolis Colts,15,327,5173,950,5.4,23,10,304,366,513,3640,20,13,6.6,197,399,1533,12,3.8,83,122,1040,24,36.6,14.3,-43.44
Jacksonville Jaguars,15,296,4641,896,5.2,16,5,265,287,464,2905,17,11,5.9,149,401,1736,14,4.3,81,90,720,35,33.1,8.9,7.41
Kansas City Chiefs,15,418,6196,1044,5.9,23,10,399,382,599,4209,30,13,6.5,236,396,1987,19,5.0,120,103,859,43,42.1,14.5,-148.53
Los Angeles Chargers,15,320,4969,907,5.5,16,4,292,320,500,3358,22,12,6.3,167,370,1611,11,4.4,94,92,729,31,35.3,10.3,-42.10
Los Angeles Rams,15,352,5346,902,5.9,26,11,300,324,500,3516,28,15,6.5,172,364,1830,11,5.0,96,94,811,32,38.0,15.7,-53.56
Miami Dolphins,15,391,5876,964,6.1,27,7,327,318,482,3717,28,20,7.3,186,452,2159,14,4.8,105,104,832,36,39.4,14.7,-111.69
Minnesota Vikings,15,317,4623,930,5.0,20,8,286,297,477,2977,15,12,5.6,153,403,1646,10,4.1,99,95,732,34,33.5,11.2,32.24
New England Patriots,15,322,5507,947,5.8,25,7,310,354,577,3808,29,18,6.3,200,344,1699,7,4.9,89,87,808,21,34.3,14.3,-47.24
New Orleans Saints,15,320,5211,910,5.7,24,12,308,366,543,4039,28,12,6.8,214,319,1172,10,3.7,61,83,804,33,34.4,15.6,-58.07
New York Giants,15,376,5523,964,5.7,20,4,323,335,516,3676,20,16,6.8,187,422,1847,17,4.4,99,104,873,37,40.8,11.8,-86.17
New York Jets,15,403,5711,997,5.7,20,7,319,343,549,3821,25,13,6.5,187,410,1890,16,4.6,95,91,787,37,38.7,10.5,-60.90
Oakland Raiders,15,432,5693,919,6.2,16,3,299,283,453,3543,34,13,7.6,167,453,2150,14,4.7,101,113,941,31,44.2,9.7,-168.73
Philadelphia Eagles,15,348,5770,958,6.0,16,7,300,404,598,4240,22,9,6.6,209,320,1530,14,4.8,70,113,981,21,40.7,9.0,-88.88
Pittsburgh Steelers,15,347,5039,941,5.4,15,7,308,350,542,3626,27,8,6.1,196,351,1413,13,4.0,79,127,1085,33,34.3,8.6,-63.28
San Francisco 49ers,15,387,5169,952,5.4,7,5,309,327,513,3510,31,2,6.4,182,402,1659,12,4.1,92,111,954,35,38.2,4.1,-110.33
Seattle Seahawks,15,323,5455,891,6.1,24,12,311,337,512,3729,25,12,6.8,193,342,1726,9,5.0,87,105,961,31,34.2,13.8,-62.68
Tampa Bay Buccaneers,15,430,5645,922,6.1,16,8,329,355,489,3771,31,8,7.2,190,396,1874,18,4.7,115,118,1071,24,40.0,8.2,-137.56
Tennessee Titans,15,270,4898,929,5.3,15,5,274,313,498,3193,18,10,6.0,167,393,1705,8,4.3,90,108,888,17,32.1,9.4,-19.66
Washington Redskins,15,335,5294,925,5.7,25,11,305,333,503,3563,24,14,6.5,182,379,1731,12,4.6,99,97,766,24,34.6,14.8,-75.27
