Winner,Loser
Chicago Bears,Minnesota Vikings
Dallas Cowboys,New York Giants
New York Jets,New England Patriots
Atlanta Falcons,Tampa Bay Buccaneers
Jacksonville Jaguars,Houston Texans
Cincinnati Bengals,Pittsburgh Steelers
Philadelphia Eagles,Washington Redskins
Detroit Lions,Green Bay Packers
Cleveland Browns,Baltimore Ravens
Carolina Panthers,New Orleans Saints
Miami Dolphins,Buffalo Bills
Indianapolis Colts,Tennessee Titans
Oakland Raiders,Kansas City Chiefs
Arizona Cardinals,Seattle Seahawks
Los Angeles Chargers,Denver Broncos
San Francisco 49ers,Los Angeles Rams
